UIC;Gare enquêtée;CSP;Pourcentage;Année
118000;Troyes;Etudiant (après le bac);16.0;2015
319012;Aix en Provence-TGV;Scolaire (avant le bac);0.30000000000000004;2015
391003;Paris Montparnasse 1 et 2 + Vaugirard;Non communiqué;6.0;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Ouvrier, Employé;23.0;2012
271007;Paris Nord;Etudiant (après le bac);12.0;2012
384008;Paris St Lazare;Sans emploi;3.0;2013
784009;Perpignan;Sans emploi;7.0;2016
784009;Perpignan;Scolaire (avant le bac);13.0;2016
575001;Poitiers;Agriculteur, Exploitant agricole;0.30000000000000004;2015
411017;Rouen Rive Droite;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;14.0;2014
212027;Strasbourg;Retraité;6.0;2016
212027;Strasbourg;Technicien, Agent de maîtrise;4.0;2016
763029;Valence TGV Rhône-Alpes Sud;Etudiant (après le bac);7.0;2015
677005;Hendaye;Enseignant, Professeur;2.0;2016
677005;Hendaye;Sans emploi;7.0;2016
775007;Nîmes;Technicien, Agent de maîtrise;2.0;2014
547000;Paris Austerlitz;Sans emploi;3.0;2013
751008;Marseille Saint-Charles;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2013
111849;Marne la Vallée Chessy;Scolaire (avant le bac);0.0;2013
396002;Le Mans;Enseignant, Professeur;5.0;2015
182014;Colmar;Enseignant, Professeur;7.0;2017
481002;Nantes;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;24.0;2014
481002;Nantes;Technicien, Agent de maîtrise;7.0;2014
481002;Nantes;Enseignant, Professeur;3.0;2014
756056;Nice;Ouvrier, Employé;29.0;2014
773002;Montpellier Saint-Roch;Etudiant (après le bac);28.0;2015
481002;Nantes;Agriculteur, Exploitant agricole;0.4;2014
673400;Biarritz;Technicien, Agent de maîtrise;2.0;2016
673400;Biarritz;Sans emploi;3.0;2016
286005;Lille Flandres;Etudiant (après le bac);27.0;2013
223263;Lille Europe;Autre;0.9;2013
271494;Aéroport Charles de Gaulle 2 TGV;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;11.0;2013
300822;Belfort Montbéliard TGV;Artisan, Commerçant, Chef d'entreprise TPE;6.0;2015
271494;Aéroport Charles de Gaulle 2 TGV;Technicien, Agent de maîtrise;3.0;2013
300822;Belfort Montbéliard TGV;Technicien, Agent de maîtrise;5.0;2015
673004;Bayonne;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2013
300863;Besançon Franche-Comté TGV;Retraité;12.0;2015
313874;Amiens;Etudiant (après le bac);37.0;2015
271494;Aéroport Charles de Gaulle 2 TGV;Scolaire (avant le bac);0.2;2013
300822;Belfort Montbéliard TGV;Scolaire (avant le bac);2.0;2015
300863;Besançon Franche-Comté TGV;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2015
300863;Besançon Franche-Comté TGV;Etudiant (après le bac);17.0;2015
300863;Besançon Franche-Comté TGV;Ouvrier, Employé;11.0;2015
300863;Besançon Franche-Comté TGV;Sans emploi;4.0;2015
718007;Besançon-Viotte;Non communiqué;0.0;2012
581009;Bordeaux Saint-Jean;Agriculteur, Exploitant agricole;0.4;2014
444000;Caen;Non communiqué;1.0;2012
757625;Cannes;Technicien, Agent de maîtrise;4.0;2015
444877;Cherbourg;Retraité;11.0;2015
713040;Dijon;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;15.0;2015
713040;Dijon;Militaire;0.7000000000000001;2015
713040;Dijon;Sans emploi;5.0;2015
747006;Grenoble;Artisan, Commerçant, Chef d'entreprise TPE;2.0;2015
677005;Hendaye;Agriculteur, Exploitant agricole;0.2;2016
396002;Le Mans;Sans emploi;8.0;2015
286005;Lille Flandres;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;19.0;2013
286005;Lille Flandres;Enseignant, Professeur;5.0;2013
476002;Lorient;Agriculteur, Exploitant agricole;0.1;2010
722025;Lyon Perrache;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2011
762906;Lyon Saint Exupery TGV;Etudiant (après le bac);13.0;2016
182063;Mulhouse;Enseignant, Professeur;4.0;2014
141002;Nancy;Scolaire (avant le bac);7.0;2014
784009;Perpignan;Etudiant (après le bac);14.0;2016
319012;Aix en Provence-TGV;Enseignant, Professeur;3.0;2015
313874;Amiens;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;10.0;2015
484006;Angers Saint Laud;Autre;5.0;2015
484006;Angers Saint Laud;Enseignant, Professeur;5.0;2015
318964;Avignon TGV;Artisan, Commerçant, Chef d'entreprise TPE;11.0;2015
271494;Aéroport Charles de Gaulle 2 TGV;Artisan, Commerçant, Chef d'entreprise TPE;2.0;2013
757625;Cannes;Artisan, Commerçant, Chef d'entreprise TPE;2.0;2015
444877;Cherbourg;Scolaire (avant le bac);3.0;2015
182014;Colmar;Technicien, Agent de maîtrise;3.0;2017
713040;Dijon;Scolaire (avant le bac);12.0;2015
478404;Laval;Retraité;17.0;2011
396002;Le Mans;Technicien, Agent de maîtrise;6.0;2015
476002;Lorient;Enseignant, Professeur;4.0;2010
142109;Lorraine TGV;Retraité;22.0;2017
751008;Marseille Saint-Charles;Ouvrier, Employé;25.0;2013
751008;Marseille Saint-Charles;Retraité;9.0;2013
192039;Metz;Autre;4.0;2016
773002;Montpellier Saint-Roch;Agriculteur, Exploitant agricole;0.6000000000000001;2015
481002;Nantes;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2014
775007;Nîmes;Etudiant (après le bac);15.0;2014
547000;Paris Austerlitz;Agriculteur, Exploitant agricole;0.4;2013
686006;Paris Gare de Lyon;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;11.0;2012
575001;Poitiers;Sans emploi;8.0;2015
171009;Reims;Technicien, Agent de maîtrise;5.0;2016
411017;Rouen Rive Droite;Autre;6.0;2014
212027;Strasbourg;Sans emploi;3.0;2016
755009;Toulon;Sans emploi;7.0;2014
755009;Toulon;Scolaire (avant le bac);9.0;2014
571000;Tours;Ouvrier, Employé;25.0;2016
118000;Troyes;Militaire;3.0;2015
753657;Arles;Scolaire (avant le bac);6.0;2014
673004;Bayonne;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;13.0;2013
673004;Bayonne;Militaire;0.7000000000000001;2013
286005;Lille Flandres;Technicien, Agent de maîtrise;5.0;2013
723197;Lyon Part Dieu;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2011
723197;Lyon Part Dieu;Retraité;7.0;2011
723197;Lyon Part Dieu;Sans emploi;7.0;2011
723197;Lyon Part Dieu;Scolaire (avant le bac);3.0;2011
762906;Lyon Saint Exupery TGV;Autre;3.0;2016
751008;Marseille Saint-Charles;Scolaire (avant le bac);5.0;2013
192039;Metz;Artisan, Commerçant, Chef d'entreprise TPE;1.0;2011
192039;Metz;Scolaire (avant le bac);7.0;2016
;Paris Bercy;Autre;2.0;2012
;Paris Bercy;Sans emploi;3.0;2012
411017;Rouen Rive Droite;Etudiant (après le bac);23.0;2014
611004;Toulouse Matabiau;Technicien, Agent de maîtrise;5.0;2014
763029;Valence TGV Rhône-Alpes Sud;Non communiqué;0.9;2015
313874;Amiens;Ouvrier, Employé;21.0;2015
313874;Amiens;Technicien, Agent de maîtrise;2.0;2015
300822;Belfort Montbéliard TGV;Sans emploi;4.0;2015
300863;Besançon Franche-Comté TGV;Technicien, Agent de maîtrise;6.0;2015
757625;Cannes;Enseignant, Professeur;1.0;2015
757625;Cannes;Sans emploi;4.0;2015
182014;Colmar;Artisan, Commerçant, Chef d'entreprise TPE;1.0;2017
345025;Lens;Retraité;6.0;2016
286005;Lille Flandres;Agriculteur, Exploitant agricole;0.5;2013
286005;Lille Flandres;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2013
286005;Lille Flandres;Scolaire (avant le bac);2.0;2013
476002;Lorient;Retraité;16.0;2010
762906;Lyon Saint Exupery TGV;Scolaire (avant le bac);0.5;2016
756056;Nice;Sans emploi;5.0;2014
775007;Nîmes;Militaire;2.0;2014
547000;Paris Austerlitz;Scolaire (avant le bac);2.0;2013
113001;Paris Est;Enseignant, Professeur;3.0;2012
113001;Paris Est;Scolaire (avant le bac);2.0;2012
686006;Paris Gare de Lyon;Non communiqué;64.0;2012
384008;Paris St Lazare;Autre;0.0;2013
575001;Poitiers;Enseignant, Professeur;4.0;2015
171009;Reims;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;16.0;2016
471003;Rennes;Autre;1.0;2014
411017;Rouen Rive Droite;Enseignant, Professeur;5.0;2014
411017;Rouen Rive Droite;Militaire;0.9;2014
755009;Toulon;Etudiant (après le bac);14.0;2014
755009;Toulon;Militaire;9.0;2014
611004;Toulouse Matabiau;Scolaire (avant le bac);3.0;2014
571000;Tours;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2016
113001;Paris Est;Autre;0.7000000000000001;2012
113001;Paris Est;Etudiant (après le bac);12.0;2012
384008;Paris St Lazare;Ouvrier, Employé;38.0;2013
575001;Poitiers;Scolaire (avant le bac);6.0;2015
171009;Reims;Militaire;0.7000000000000001;2016
411017;Rouen Rive Droite;Scolaire (avant le bac);5.0;2014
212027;Strasbourg;Autre;0.7000000000000001;2010
755009;Toulon;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;9.0;2014
611004;Toulouse Matabiau;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2014
118000;Troyes;Scolaire (avant le bac);11.0;2015
478404;Laval;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;25.0;2011
478404;Laval;Artisan, Commerçant, Chef d'entreprise TPE;3.0;2011
677005;Hendaye;Etudiant (après le bac);7.0;2016
