UIC;Gare enquêtée;Motif du déplacement;POURCENTAGE;Année
611004.0;Toulouse Matabiau;Loisirs, vacances, visite d'un proche ou ami;33.0;2014
686006.0;Paris Gare de Lyon;Loisirs, vacances, visite d'un proche ou ami;29.0;2012
723197.0;Lyon Part Dieu;Déplacement domicile - étude (y compris stage);12.0;2011
723197.0;Lyon Part Dieu;Déplacement professionnel occasionnel;22.0;2011
751008.0;Marseille Saint-Charles;Déplacement domicile - travail habituel;35.0;2013
757625.0;Cannes;Loisirs, vacances, visite d'un proche ou ami;32.0;2015
762906.0;Lyon Saint Exupery TGV;Déplacement domicile - étude (y compris stage);0.0;2016
762906.0;Lyon Saint Exupery TGV;Loisirs, vacances, visite d'un proche ou ami;47.0;2016
773002.0;Montpellier Saint-Roch;Démarches administratives, médicales ou achat;4.0;2015
142109.0;Lorraine TGV;Déplacement domicile - étude (y compris stage);4.0;2017
300822.0;Belfort Montbéliard TGV;Démarches administratives, médicales ou achat;2.0;2015
391003.0;Paris Montparnasse 1 et 2 + Vaugirard;Déplacement domicile - étude (y compris stage);6.0;2012
476002.0;Lorient;Démarches administratives, médicales ou achat;2.0;2010
747006.0;Grenoble;Déplacement domicile - travail habituel;46.0;2015
756056.0;Nice;Déplacement professionnel occasionnel;9.0;2014
171009.0;Reims;Déplacement domicile - étude (y compris stage);25.0;2016
192039.0;Metz;Déplacement domicile - étude (y compris stage);17.0;2016
223263.0;Lille Europe;Déplacement domicile - étude (y compris stage);5.0;2013
271007.0;Paris Nord;Démarches administratives, médicales ou achat;3.0;2012
313874.0;Amiens;Déplacement domicile - étude (y compris stage);53.0;2015
444877.0;Cherbourg;Démarches administratives, médicales ou achat;2.0;2015
476002.0;Lorient;Loisirs, vacances, visite d'un proche ou ami;28.0;2010
481002.0;Nantes;Déplacement domicile - étude (y compris stage);10.0;2014
673400.0;Biarritz;Loisirs, vacances, visite d'un proche ou ami;60.0;2016
718007.0;Besançon-Viotte;Loisirs, vacances, visite d'un proche ou ami;15.0;2012
753657.0;Arles;Démarches administratives, médicales ou achat;2.0;2014
775007.0;Nîmes;Loisirs, vacances, visite d'un proche ou ami;37.0;2014
111849.0;Marne la Vallée Chessy;Déplacement domicile - étude (y compris stage);2.0;2013
484006.0;Angers Saint Laud;Démarches administratives, médicales ou achat;2.0;2015
581009.0;Bordeaux Saint-Jean;Loisirs, vacances, visite d'un proche ou ami;38.0;2014
673004.0;Bayonne;Loisirs, vacances, visite d'un proche ou ami;42.0;2013
753657.0;Arles;Loisirs, vacances, visite d'un proche ou ami;39.0;2014
755009.0;Toulon;Démarches administratives, médicales ou achat;3.0;2014
113001.0;Paris Est;Démarches administratives, médicales ou achat;2.0;2012
300863.0;Besançon Franche-Comté TGV;Déplacement professionnel occasionnel;43.0;2015
313874.0;Amiens;Démarches administratives, médicales ou achat;4.0;2015
384008.0;Paris St Lazare;Démarches administratives, médicales ou achat;4.0;2013
476002.0;Lorient;Déplacement domicile - étude (y compris stage);15.0;2010
476002.0;Lorient;Déplacement professionnel occasionnel;30.0;2010
677005.0;Hendaye;Démarches administratives, médicales ou achat;5.0;2016
722025.0;Lyon Perrache;Loisirs, vacances, visite d'un proche ou ami;13.0;2011
751008.0;Marseille Saint-Charles;Déplacement domicile - étude (y compris stage);17.0;2013
182063.0;Mulhouse;Démarches administratives, médicales ou achat;3.0;2014
192039.0;Metz;Démarches administratives, médicales ou achat;4.0;2016
192039.0;Metz;Déplacement professionnel occasionnel;19.0;2016
318964.0;Avignon TGV;Démarches administratives, médicales ou achat;2.0;2015
391003.0;Paris Montparnasse 1 et 2 + Vaugirard;Déplacement professionnel occasionnel;26.0;2012
396002.0;Le Mans;Déplacement professionnel occasionnel;20.0;2015
575001.0;Poitiers;Déplacement domicile - travail habituel;24.0;2015
581009.0;Bordeaux Saint-Jean;Déplacement domicile - étude (y compris stage);20.0;2014
611004.0;Toulouse Matabiau;Démarches administratives, médicales ou achat;6.0;2014
673004.0;Bayonne;Déplacement domicile - travail habituel;22.0;2013
723197.0;Lyon Part Dieu;Loisirs, vacances, visite d'un proche ou ami;31.0;2011
755009.0;Toulon;Déplacement domicile - étude (y compris stage);16.0;2014
763029.0;Valence TGV Rhône-Alpes Sud;Déplacement professionnel occasionnel;46.0;2015
784009.0;Perpignan;Déplacement professionnel occasionnel;17.0;2016
141002.0;Nancy;Démarches administratives, médicales ou achat;5.0;2014
286005.0;Lille Flandres;Loisirs, vacances, visite d'un proche ou ami;15.0;2013
300822.0;Belfort Montbéliard TGV;Déplacement professionnel occasionnel;59.0;2015
411017.0;Rouen Rive Droite;Déplacement professionnel occasionnel;14.0;2014
478404.0;Laval;Démarches administratives, médicales ou achat;3.0;2011
481002.0;Nantes;Loisirs, vacances, visite d'un proche ou ami;26.0;2014
611004.0;Toulouse Matabiau;Déplacement domicile - travail habituel;24.0;2014
751008.0;Marseille Saint-Charles;Démarches administratives, médicales ou achat;3.0;2013
753657.0;Arles;Déplacement domicile - étude (y compris stage);17.0;2014
757625.0;Cannes;Déplacement domicile - étude (y compris stage);31.0;2015
763029.0;Valence TGV Rhône-Alpes Sud;Déplacement domicile - travail habituel;9.0;2015
773002.0;Montpellier Saint-Roch;Déplacement domicile - travail habituel;21.0;2015
686667.0;Paris Bercy;Déplacement domicile - étude (y compris stage);6.0;2012
111849.0;Marne la Vallée Chessy;Déplacement professionnel occasionnel;34.0;2013
142109.0;Lorraine TGV;Déplacement professionnel occasionnel;28.0;2017
192039.0;Metz;Loisirs, vacances, visite d'un proche ou ami;19.0;2016
300822.0;Belfort Montbéliard TGV;Déplacement domicile - étude (y compris stage);3.0;2015
471003.0;Rennes;Déplacement professionnel occasionnel;21.0;2014
471003.0;Rennes;Loisirs, vacances, visite d'un proche ou ami;28.0;2014
478404.0;Laval;Loisirs, vacances, visite d'un proche ou ami;29.0;2011
575001.0;Poitiers;Déplacement domicile - étude (y compris stage);12.0;2015
677005.0;Hendaye;Loisirs, vacances, visite d'un proche ou ami;67.0;2016
756056.0;Nice;Loisirs, vacances, visite d'un proche ou ami;32.0;2014
773002.0;Montpellier Saint-Roch;Déplacement domicile - étude (y compris stage);18.0;2015
686667.0;Paris Bercy;Déplacement professionnel occasionnel;18.0;2012
118000.0;Troyes;Déplacement domicile - travail habituel;41.0;2015
142109.0;Lorraine TGV;Loisirs, vacances, visite d'un proche ou ami;41.0;2017
384008.0;Paris St Lazare;Loisirs, vacances, visite d'un proche ou ami;14.0;2013
393702.0;Massy TGV;Déplacement professionnel occasionnel;62.0;2013
396002.0;Le Mans;Déplacement domicile - étude (y compris stage);15.0;2015
444000.0;Caen;Démarches administratives, médicales ou achat;4.0;2012
444877.0;Cherbourg;Déplacement domicile - travail habituel;57.0;2015
547000.0;Paris Austerlitz;Déplacement domicile - étude (y compris stage);5.0;2013
571000.0;Tours;Déplacement professionnel occasionnel;20.0;2016
575001.0;Poitiers;Démarches administratives, médicales ou achat;4.0;2015
747006.0;Grenoble;Loisirs, vacances, visite d'un proche ou ami;21.0;2015
757625.0;Cannes;Déplacement domicile - travail habituel;29.0;2015
762906.0;Lyon Saint Exupery TGV;Déplacement professionnel occasionnel;38.0;2016
784009.0;Perpignan;Déplacement domicile - travail habituel;22.0;2016
784009.0;Perpignan;Déplacement domicile - étude (y compris stage);8.0;2016
118000.0;Troyes;Démarches administratives, médicales ou achat;5.0;2015
141002.0;Nancy;Déplacement domicile - étude (y compris stage);26.0;2014
142109.0;Lorraine TGV;Déplacement domicile - travail habituel;25.0;2017
182014.0;Colmar;Déplacement domicile - étude (y compris stage);23.0;2017
286005.0;Lille Flandres;Déplacement domicile - étude (y compris stage);20.0;2013
300863.0;Besançon Franche-Comté TGV;Loisirs, vacances, visite d'un proche ou ami;25.0;2015
313874.0;Amiens;Loisirs, vacances, visite d'un proche ou ami;13.0;2015
318964.0;Avignon TGV;Déplacement domicile - étude (y compris stage);3.0;2015
345025.0;Lens;Déplacement professionnel occasionnel;5.0;2016
384008.0;Paris St Lazare;Déplacement domicile - étude (y compris stage);10.0;2013
471003.0;Rennes;Démarches administratives, médicales ou achat;2.0;2014
478404.0;Laval;Déplacement domicile - étude (y compris stage);12.0;2011
581009.0;Bordeaux Saint-Jean;Démarches administratives, médicales ou achat;3.0;2014
583005.0;Angoulême;Déplacement professionnel occasionnel;16.0;2012
611004.0;Toulouse Matabiau;Déplacement professionnel occasionnel;16.0;2014
673004.0;Bayonne;Déplacement professionnel occasionnel;17.0;2013
673400.0;Biarritz;Déplacement domicile - étude (y compris stage);10.0;2016
722025.0;Lyon Perrache;Démarches administratives, médicales ou achat;4.0;2011
722025.0;Lyon Perrache;Déplacement domicile - travail habituel;53.0;2011
723197.0;Lyon Part Dieu;Démarches administratives, médicales ou achat;2.0;2011
755009.0;Toulon;Déplacement domicile - travail habituel;15.0;2014
763029.0;Valence TGV Rhône-Alpes Sud;Déplacement domicile - étude (y compris stage);4.0;2015
686667.0;Paris Bercy;Déplacement domicile - travail habituel;50.0;2012
113001.0;Paris Est;Déplacement domicile - travail habituel;51.0;2012
182063.0;Mulhouse;Déplacement domicile - étude (y compris stage);21.0;2014
192039.0;Metz;Déplacement domicile - travail habituel;41.0;2016
212027.0;Strasbourg;Loisirs, vacances, visite d'un proche ou ami;16.0;2016
271494.0;Aéroport Charles de Gaulle 2 TGV;Déplacement domicile - étude (y compris stage);1.0;2013
444877.0;Cherbourg;Déplacement domicile - étude (y compris stage);6.0;2015
481002.0;Nantes;Déplacement professionnel occasionnel;22.0;2014
571000.0;Tours;Loisirs, vacances, visite d'un proche ou ami;21.0;2016
747006.0;Grenoble;Déplacement domicile - étude (y compris stage);15.0;2015
775007.0;Nîmes;Déplacement domicile - travail habituel;25.0;2014
